product,direction,horizon,n_no_trade_extremes,mean_fwd_ret,t
HYDROGEL_PACK,near_min,50,936,3.1992521367521367,6.88233798656155
HYDROGEL_PACK,near_min,100,928,7.693965517241379,11.970661702676436
HYDROGEL_PACK,near_min,500,913,9.837349397590362,9.510654764335914
HYDROGEL_PACK,near_min_with_trade,50,33,-1.5151515151515151,-0.5922566695345314
HYDROGEL_PACK,near_min_with_trade,100,33,1.106060606060606,0.29970605862826466
HYDROGEL_PACK,near_min_with_trade,500,33,12.242424242424242,2.5747030233276336
HYDROGEL_PACK,near_max,50,1058,-2.492911153119093,-6.7819504599848255
HYDROGEL_PACK,near_max,100,1047,-5.02865329512894,-10.521012035092976
HYDROGEL_PACK,near_max,500,1017,-10.698131760078663,-12.888000555447041
HYDROGEL_PACK,near_max_with_trade,50,42,-1.869047619047619,-1.0778409231763468
HYDROGEL_PACK,near_max_with_trade,100,42,-4.142857142857143,-1.705642456112171
HYDROGEL_PACK,near_max_with_trade,500,42,-8.988095238095237,-2.3532495799863016
VELVETFRUIT_EXTRACT,near_min,50,1484,1.131064690026954,7.348114067455534
VELVETFRUIT_EXTRACT,near_min,100,1484,2.085579514824798,8.835221714703785
VELVETFRUIT_EXTRACT,near_min,500,1395,9.09068100358423,22.881720421453455
VELVETFRUIT_EXTRACT,near_min_with_trade,50,80,1.375,1.867461740649846
VELVETFRUIT_EXTRACT,near_min_with_trade,100,80,2.59375,2.3034978516613687
VELVETFRUIT_EXTRACT,near_min_with_trade,500,72,11.902777777777779,7.112346239928646
VELVETFRUIT_EXTRACT,near_max,50,1759,-1.4906196702671972,-9.836486080808722
VELVETFRUIT_EXTRACT,near_max,100,1743,-2.744979919678715,-12.266853036772465
VELVETFRUIT_EXTRACT,near_max,500,1710,-5.484795321637427,-12.646879818896226
VELVETFRUIT_EXTRACT,near_max_with_trade,50,70,-2.157142857142857,-2.7135691734627247
VELVETFRUIT_EXTRACT,near_max_with_trade,100,70,-3.4,-3.045267039524506
VELVETFRUIT_EXTRACT,near_max_with_trade,500,69,-9.420289855072463,-4.223579171519445
