product,direction,qty_bucket,horizon,n,mean_qty,mean_ret,t
HYDROGEL_PACK,near_min,low,50,23,3.260869565217391,0.21739130434782608,0.06844208831963593
HYDROGEL_PACK,near_min,low,100,23,3.260869565217391,1.6304347826086956,0.3509580975430812
HYDROGEL_PACK,near_min,low,500,23,3.260869565217391,14.804347826086957,2.317426037910156
HYDROGEL_PACK,near_min,high,50,10,5.6,-5.5,-1.3132930655258135
HYDROGEL_PACK,near_min,high,100,10,5.6,-0.1,-0.0161728004909033
HYDROGEL_PACK,near_min,high,500,10,5.6,6.35,1.1535871781852778
HYDROGEL_PACK,near_max,low,50,21,3.0,-1.5714285714285714,-0.8028270361665706
HYDROGEL_PACK,near_max,low,100,21,3.0,-6.833333333333333,-2.6133058340868622
HYDROGEL_PACK,near_max,low,500,21,3.0,-11.666666666666666,-2.4784168622865836
HYDROGEL_PACK,near_max,high,50,21,5.523809523809524,-2.1666666666666665,-0.743664120209878
HYDROGEL_PACK,near_max,high,100,21,5.523809523809524,-1.4523809523809523,-0.356180469266967
HYDROGEL_PACK,near_max,high,500,21,5.523809523809524,-6.309523809523809,-1.0381903758583855
VELVETFRUIT_EXTRACT,near_min,low,50,47,5.1063829787234045,1.074468085106383,1.0868577580465755
VELVETFRUIT_EXTRACT,near_min,low,100,47,5.1063829787234045,3.297872340425532,2.2068012542193105
VELVETFRUIT_EXTRACT,near_min,low,500,42,5.1063829787234045,16.55952380952381,8.87680601580152
VELVETFRUIT_EXTRACT,near_min,high,50,33,8.969696969696969,1.803030303030303,1.6231842768502274
VELVETFRUIT_EXTRACT,near_min,high,100,33,8.969696969696969,1.5909090909090908,0.9243323942342803
VELVETFRUIT_EXTRACT,near_min,high,500,30,8.969696969696969,5.383333333333334,2.0265983380661527
VELVETFRUIT_EXTRACT,near_max,low,50,34,3.888888888888889,-2.235294117647059,-2.0100006437849354
VELVETFRUIT_EXTRACT,near_max,low,100,34,3.888888888888889,-3.338235294117647,-2.0681031731580055
VELVETFRUIT_EXTRACT,near_max,low,500,34,3.888888888888889,-10.220588235294118,-2.890036419865653
VELVETFRUIT_EXTRACT,near_max,high,50,36,6.888888888888889,-2.0833333333333335,-1.812736804212336
VELVETFRUIT_EXTRACT,near_max,high,100,36,6.888888888888889,-3.4583333333333335,-2.2058113868785107
VELVETFRUIT_EXTRACT,near_max,high,500,35,6.888888888888889,-8.642857142857142,-3.0973457628030796
