product,bucket,quantity,count
HYDROGEL_PACK,ALL,2,193
HYDROGEL_PACK,ALL,3,198
HYDROGEL_PACK,ALL,4,202
HYDROGEL_PACK,ALL,5,212
HYDROGEL_PACK,ALL,6,205
HYDROGEL_PACK,near_min_w500_d1,2,13
HYDROGEL_PACK,near_min_w500_d1,3,12
HYDROGEL_PACK,near_min_w500_d1,4,18
HYDROGEL_PACK,near_min_w500_d1,5,15
HYDROGEL_PACK,near_min_w500_d1,6,18
HYDROGEL_PACK,near_max_w500_d1,2,21
HYDROGEL_PACK,near_max_w500_d1,3,18
HYDROGEL_PACK,near_max_w500_d1,4,20
HYDROGEL_PACK,near_max_w500_d1,5,20
HYDROGEL_PACK,near_max_w500_d1,6,18
VELVETFRUIT_EXTRACT,ALL,3,190
VELVETFRUIT_EXTRACT,ALL,4,189
VELVETFRUIT_EXTRACT,ALL,5,223
VELVETFRUIT_EXTRACT,ALL,6,212
VELVETFRUIT_EXTRACT,ALL,7,224
VELVETFRUIT_EXTRACT,ALL,8,233
VELVETFRUIT_EXTRACT,ALL,9,23
VELVETFRUIT_EXTRACT,ALL,10,29
VELVETFRUIT_EXTRACT,ALL,11,10
VELVETFRUIT_EXTRACT,ALL,12,11
VELVETFRUIT_EXTRACT,ALL,13,13
VELVETFRUIT_EXTRACT,ALL,14,9
VELVETFRUIT_EXTRACT,ALL,15,6
VELVETFRUIT_EXTRACT,near_min_w500_d1,3,9
VELVETFRUIT_EXTRACT,near_min_w500_d1,4,10
VELVETFRUIT_EXTRACT,near_min_w500_d1,5,12
VELVETFRUIT_EXTRACT,near_min_w500_d1,6,15
VELVETFRUIT_EXTRACT,near_min_w500_d1,7,14
VELVETFRUIT_EXTRACT,near_min_w500_d1,8,25
VELVETFRUIT_EXTRACT,near_min_w500_d1,9,1
VELVETFRUIT_EXTRACT,near_min_w500_d1,10,4
VELVETFRUIT_EXTRACT,near_min_w500_d1,11,1
VELVETFRUIT_EXTRACT,near_min_w500_d1,12,2
VELVETFRUIT_EXTRACT,near_max_w500_d1,3,17
VELVETFRUIT_EXTRACT,near_max_w500_d1,4,18
VELVETFRUIT_EXTRACT,near_max_w500_d1,5,14
VELVETFRUIT_EXTRACT,near_max_w500_d1,6,17
VELVETFRUIT_EXTRACT,near_max_w500_d1,7,6
VELVETFRUIT_EXTRACT,near_max_w500_d1,8,14
VELVETFRUIT_EXTRACT,near_max_w500_d1,10,1
VELVETFRUIT_EXTRACT,near_max_w500_d1,13,1
