product,context,horizon,n,mean_ret,t
HYDROGEL_PACK,near_min_sell_aggressed,50,13,-1.6153846153846154,-0.43644363505144657
HYDROGEL_PACK,near_min_sell_aggressed,100,13,0.0,0.0
HYDROGEL_PACK,near_min_sell_aggressed,500,13,12.115384615384615,1.7988207517052948
HYDROGEL_PACK,near_min_buy_aggressed,50,20,-1.45,-0.40909188767501325
HYDROGEL_PACK,near_min_buy_aggressed,100,20,1.825,0.3813109896867761
HYDROGEL_PACK,near_min_buy_aggressed,500,20,12.325,1.8537371790343913
HYDROGEL_PACK,near_max_sell_aggressed,50,21,-0.8095238095238095,-0.3418510067216466
HYDROGEL_PACK,near_max_sell_aggressed,100,21,-3.142857142857143,-1.150063168083024
HYDROGEL_PACK,near_max_sell_aggressed,500,21,-8.380952380952381,-1.7527324636830193
HYDROGEL_PACK,near_max_buy_aggressed,50,21,-2.9285714285714284,-1.1391965838412297
HYDROGEL_PACK,near_max_buy_aggressed,100,21,-5.142857142857143,-1.2614894368222611
HYDROGEL_PACK,near_max_buy_aggressed,500,21,-9.595238095238095,-1.5793638709255682
VELVETFRUIT_EXTRACT,near_min_sell_aggressed,50,26,0.40384615384615385,0.3270647164906425
VELVETFRUIT_EXTRACT,near_min_sell_aggressed,100,26,3.269230769230769,1.6686180571867881
VELVETFRUIT_EXTRACT,near_min_sell_aggressed,500,23,14.0,4.88824635379311
VELVETFRUIT_EXTRACT,near_min_buy_aggressed,50,55,1.8363636363636364,2.0432396908468085
VELVETFRUIT_EXTRACT,near_min_buy_aggressed,100,55,2.090909090909091,1.5235277887814944
VELVETFRUIT_EXTRACT,near_min_buy_aggressed,500,50,10.93,5.405075248455295
VELVETFRUIT_EXTRACT,near_max_sell_aggressed,50,29,-3.189655172413793,-3.0060728616397543
VELVETFRUIT_EXTRACT,near_max_sell_aggressed,100,29,-4.327586206896552,-2.736239035157252
VELVETFRUIT_EXTRACT,near_max_sell_aggressed,500,28,-9.017857142857142,-3.0213691971679264
VELVETFRUIT_EXTRACT,near_max_buy_aggressed,50,41,-1.4268292682926829,-1.2653529841226887
VELVETFRUIT_EXTRACT,near_max_buy_aggressed,100,41,-2.7439024390243905,-1.7686979479921483
VELVETFRUIT_EXTRACT,near_max_buy_aggressed,500,41,-9.695121951219512,-3.047439100500867
