improve,quote_size,total_mtm,avg_mtm,avg_end_pos,total_buy,total_sell
1,5,22331.0,7443.666666666667,-45.0,1869,2004
1,10,23282.0,7760.666666666667,-52.666666666666664,1960,2118
1,20,23282.0,7760.666666666667,-52.666666666666664,1960,2118
1,30,23282.0,7760.666666666667,-52.666666666666664,1960,2118
2,5,18458.0,6152.666666666667,-45.0,1869,2004
2,10,19204.0,6401.333333333333,-52.666666666666664,1960,2118
2,20,19204.0,6401.333333333333,-52.666666666666664,1960,2118
2,30,19204.0,6401.333333333333,-52.666666666666664,1960,2118
3,5,14585.0,4861.666666666667,-45.0,1869,2004
3,10,15126.0,5042.0,-52.666666666666664,1960,2118
3,20,15126.0,5042.0,-52.666666666666664,1960,2118
3,30,15126.0,5042.0,-52.666666666666664,1960,2118
4,5,10517.0,3505.6666666666665,-35.666666666666664,1839,1946
4,10,10895.0,3631.6666666666665,-42.333333333333336,1929,2056
4,20,10895.0,3631.6666666666665,-42.333333333333336,1929,2056
4,30,10895.0,3631.6666666666665,-42.333333333333336,1929,2056
