day,k,vr
0,2,0.8622266172071414
0,5,0.7705653892764044
0,10,0.7248015735448842
0,20,0.6743857723290368
0,50,0.6552063300756272
0,100,0.6500278360101722
0,200,0.5517787486573705
0,500,0.33228014760464397
1,2,0.8759748382873694
1,5,0.8085622607220085
1,10,0.78775064706935
1,20,0.7772911845104963
1,50,0.7595400777949424
1,100,0.7082945821640751
1,200,0.6136021993830993
1,500,0.46867165695341123
2,2,0.8747170703233073
2,5,0.8160667714197986
2,10,0.7886050507030666
2,20,0.7587196983562101
2,50,0.7153175553397059
2,100,0.672778534155705
2,200,0.6069500871341279
2,500,0.4364796204444307
