strike,theta,mode,total_pnl,total_fills,total_exits,pnl_per_fill
5000,0.003,maker_both,-10485.0,6601,1589,-1.5883956976215725
5000,0.003,maker_entry_taker_exit,-13931.0,6601,1589,-2.1104378124526586
5000,0.003,taker,-65867.0,15422,1943,-4.270976527039294
5000,0.005,maker_both,-8518.0,7482,2200,-1.1384656508954825
5000,0.005,maker_entry_taker_exit,-11916.0,7482,2200,-1.5926222935044105
5000,0.005,taker,-71809.0,17013,2875,-4.220831129136543
5000,0.0075,maker_both,-9803.0,7425,2422,-1.3202693602693603
5000,0.0075,maker_entry_taker_exit,-13506.0,7425,2422,-1.818989898989899
5000,0.0075,taker,-78264.5,16974,3539,-4.610845999764345
5000,0.01,maker_both,-7823.0,6320,2340,-1.2378164556962026
5000,0.01,maker_entry_taker_exit,-12297.0,6320,2340,-1.9457278481012659
5000,0.01,taker,-75663.5,14779,3937,-5.119663035388051
5100,0.003,maker_both,-9846.0,5581,997,-1.7641999641641284
5100,0.003,maker_entry_taker_exit,-16510.0,5581,997,-2.9582512094606703
5100,0.003,taker,-40043.5,9061,1518,-4.419324577861163
5100,0.005,maker_both,-6211.0,2514,584,-2.4705648369132858
5100,0.005,maker_entry_taker_exit,-8886.0,2514,584,-3.5346062052505967
5100,0.005,taker,-19605.0,3815,908,-5.1389252948885975
5100,0.0075,maker_both,-2316.0,775,119,-2.9883870967741935
5100,0.0075,maker_entry_taker_exit,-3151.0,775,119,-4.065806451612903
5100,0.0075,taker,-5582.0,1044,183,-5.346743295019157
5100,0.01,maker_both,-210.0,125,41,-1.68
5100,0.01,maker_entry_taker_exit,-286.0,125,41,-2.288
5100,0.01,taker,-608.0,202,63,-3.00990099009901
5200,0.003,maker_both,-7127.5,7998,717,-0.8911602900725182
5200,0.003,maker_entry_taker_exit,-10821.5,7998,717,-1.3530257564391097
5200,0.003,taker,-22600.0,10924,783,-2.0688392530208715
5200,0.005,maker_both,-6367.0,10016,1117,-0.6356829073482428
5200,0.005,maker_entry_taker_exit,-11582.0,10016,1117,-1.156349840255591
5200,0.005,taker,-27346.0,13616,1350,-2.0083725029377204
5200,0.0075,maker_both,-3630.0,6651,1632,-0.5457825890843482
5200,0.0075,maker_entry_taker_exit,-9256.0,6651,1632,-1.3916704254999248
5200,0.0075,taker,-23075.0,9492,2059,-2.430994521702486
5200,0.01,maker_both,-1068.5,2775,1318,-0.38504504504504505
5200,0.01,maker_entry_taker_exit,-3995.5,2775,1318,-1.4398198198198198
5200,0.01,taker,-11760.5,4240,1849,-2.7737028301886792
5300,0.003,maker_both,-7188.0,12872,1458,-0.5584213797389683
5300,0.003,maker_entry_taker_exit,-12300.0,12872,1458,-0.9555624611559975
5300,0.003,taker,-25941.0,16531,1620,-1.569233561188071
5300,0.005,maker_both,-6564.0,11332,2105,-0.5792446170137663
5300,0.005,maker_entry_taker_exit,-12343.0,11332,2105,-1.0892163783974584
5300,0.005,taker,-26847.0,15001,2435,-1.7896806879541365
5300,0.0075,maker_both,-4092.0,8345,2566,-0.49035350509286996
5300,0.0075,maker_entry_taker_exit,-9808.0,8345,2566,-1.1753145596165369
5300,0.0075,taker,-21553.0,10842,3102,-1.9879173584209555
5300,0.01,maker_both,-1844.0,4230,1812,-0.4359338061465721
5300,0.01,maker_entry_taker_exit,-4949.0,4230,1812,-1.1699763593380614
5300,0.01,taker,-10985.0,5568,2282,-1.9728807471264367
5400,0.003,maker_both,-367.0,719,198,-0.5104311543810849
5400,0.003,maker_entry_taker_exit,-590.0,719,198,-0.8205841446453408
5400,0.003,taker,-939.0,793,216,-1.184110970996217
5400,0.005,maker_both,-167.0,442,74,-0.3778280542986425
5400,0.005,maker_entry_taker_exit,-287.0,442,74,-0.6493212669683258
5400,0.005,taker,-445.0,473,88,-0.9408033826638478
5400,0.0075,maker_both,-130.0,292,13,-0.4452054794520548
5400,0.0075,maker_entry_taker_exit,-144.0,292,13,-0.4931506849315068
5400,0.0075,taker,-246.0,305,13,-0.8065573770491803
5400,0.01,maker_both,-319.0,296,7,-1.0777027027027026
5400,0.01,maker_entry_taker_exit,-363.0,296,7,-1.2263513513513513
5400,0.01,taker,-397.0,310,7,-1.2806451612903227
5500,0.003,maker_both,-13969.0,15734,1784,-0.8878225498919537
5500,0.003,maker_entry_taker_exit,-15438.0,15734,1784,-0.9811872378289056
5500,0.003,taker,-17746.0,16155,1788,-1.098483441658929
5500,0.005,maker_both,-13764.0,14721,2483,-0.9349908294273487
5500,0.005,maker_entry_taker_exit,-15481.0,14721,2483,-1.051626927518511
5500,0.005,taker,-17796.0,15183,2525,-1.1721003754198775
5500,0.0075,maker_both,-11327.0,12173,3012,-0.9305019305019305
5500,0.0075,maker_entry_taker_exit,-12950.0,12173,3012,-1.0638297872340425
5500,0.0075,taker,-14910.5,12565,3073,-1.1866693195384004
5500,0.01,maker_both,-10763.0,11735,3607,-0.9171708564124414
5500,0.01,maker_entry_taker_exit,-12211.0,11735,3607,-1.0405624201107797
5500,0.01,taker,-14144.5,12143,3682,-1.1648274726179693
