strike,theta_iv,hold,pnl_taker_sum,n_trades_taker,pnl_maker_sum,n_fills_maker,pnl_taker_per_trade,pnl_maker_per_fill
4000,0.003,1,-563799.0,26997,-52.0,5,-20.88376486276253,-10.4
4000,0.003,5,-563990.0,26986,-93.0,9,-20.89935522122582,-10.333333333333334
4000,0.003,20,-562724.0,26946,-719.0,60,-20.88339642247458,-11.983333333333333
4000,0.003,100,-559097.0,26742,-32881.0,2297,-20.907075013088026,-14.314758380496299
4000,0.005,1,-563652.0,26990,-52.0,5,-20.88373471656169,-10.4
4000,0.005,5,-563840.0,26979,-93.0,9,-20.899217910226472,-10.333333333333334
4000,0.005,20,-562581.0,26939,-719.0,60,-20.883514607075245,-11.983333333333333
4000,0.005,100,-559011.0,26735,-32881.0,2297,-20.909332335889285,-14.314758380496299
4000,0.01,1,-563231.0,26970,-52.0,5,-20.883611420096404,-10.4
4000,0.01,5,-563426.0,26959,-93.0,9,-20.89936570347565,-10.333333333333334
4000,0.01,20,-562186.0,26919,-719.0,60,-20.884356774025782,-11.983333333333333
4000,0.01,100,-558666.0,26716,-32841.0,2294,-20.911289115136995,-14.316041848299912
4000,0.02,1,-562397.0,26931,-52.0,5,-20.88288589357989,-10.4
4000,0.02,5,-562600.0,26920,-93.0,9,-20.898959881129272,-10.333333333333334
4000,0.02,20,-561334.0,26880,-719.0,60,-20.88296130952381,-11.983333333333333
4000,0.02,100,-557810.0,26677,-32782.0,2290,-20.909772463170523,-14.31528384279476
4500,0.003,1,-300.0,19,0.0,0,-15.789473684210526,
4500,0.003,5,-278.0,18,0.0,0,-15.444444444444445,
4500,0.003,20,-235.0,15,0.0,0,-15.666666666666666,
4500,0.003,100,-200.0,15,-29.0,3,-13.333333333333334,-9.666666666666666
4500,0.005,1,0.0,0,0.0,0,,
4500,0.005,5,0.0,0,0.0,0,,
4500,0.005,20,0.0,0,0.0,0,,
4500,0.005,100,0.0,0,0.0,0,,
4500,0.01,1,0.0,0,0.0,0,,
4500,0.01,5,0.0,0,0.0,0,,
4500,0.01,20,0.0,0,0.0,0,,
4500,0.01,100,0.0,0,0.0,0,,
4500,0.02,1,0.0,0,0.0,0,,
4500,0.02,5,0.0,0,0.0,0,,
4500,0.02,20,0.0,0,0.0,0,,
4500,0.02,100,0.0,0,0.0,0,,
5000,0.003,1,-137744.0,22801,-70.0,21,-6.041138546554976,-3.3333333333333335
5000,0.003,5,-137660.0,22792,-2582.0,514,-6.03983853983854,-5.023346303501945
5000,0.003,20,-136912.0,22751,-28884.0,5057,-6.01784536943431,-5.711686770812735
5000,0.003,100,-134266.0,22572,-73570.0,13071,-5.948343079922028,-5.628490551602785
5000,0.005,1,-124836.0,20639,-70.0,21,-6.048548863801541,-3.3333333333333335
5000,0.005,5,-124810.0,20630,-2348.0,463,-6.049927290353853,-5.071274298056156
5000,0.005,20,-124009.0,20591,-26082.0,4552,-6.022485551940168,-5.729789103690686
5000,0.005,100,-122143.0,20416,-67215.0,11756,-5.982709639498433,-5.717505954406261
5000,0.01,1,-92027.0,15239,-49.0,13,-6.038913314521951,-3.769230769230769
5000,0.01,5,-92211.0,15232,-1697.0,323,-6.053768382352941,-5.253869969040248
5000,0.01,20,-91790.0,15202,-19563.0,3339,-6.0380213129851334,-5.858939802336029
5000,0.01,100,-91046.0,15072,-50900.0,8620,-6.0407377919320595,-5.9048723897911835
5000,0.02,1,-5105.0,898,0.0,0,-5.684855233853007,
