strike,thr,max_hold,n_trades,total_pnl,pnl_per_trade
5000,1.0,50,0,0.0,0.0
5000,1.0,200,0,0.0,0.0
5000,1.0,1000,0,0.0,0.0
5000,1.5,50,0,0.0,0.0
5000,1.5,200,0,0.0,0.0
5000,1.5,1000,0,0.0,0.0
5000,2.0,50,0,0.0,0.0
5000,2.0,200,0,0.0,0.0
5000,2.0,1000,0,0.0,0.0
5000,3.0,50,0,0.0,0.0
5000,3.0,200,0,0.0,0.0
5000,3.0,1000,0,0.0,0.0
5100,1.0,50,13,-32.0,-2.4615384615384617
5100,1.0,200,10,5.0,0.5
5100,1.0,1000,5,51.0,10.2
5100,1.5,50,13,-32.0,-2.4615384615384617
5100,1.5,200,10,5.0,0.5
5100,1.5,1000,5,51.0,10.2
5100,2.0,50,6,3.0,0.5
5100,2.0,200,5,4.0,0.8
5100,2.0,1000,5,40.0,8.0
5100,3.0,50,0,0.0,0.0
5100,3.0,200,0,0.0,0.0
5100,3.0,1000,0,0.0,0.0
5200,1.0,50,21,-42.0,-2.0
5200,1.0,200,18,-47.0,-2.611111111111111
5200,1.0,1000,15,-57.0,-3.8
5200,1.5,50,16,-41.0,-2.5625
5200,1.5,200,13,-52.0,-4.0
5200,1.5,1000,12,-42.0,-3.5
5200,2.0,50,16,-41.0,-2.5625
5200,2.0,200,13,-52.0,-4.0
5200,2.0,1000,12,-42.0,-3.5
5200,3.0,50,16,-41.0,-2.5625
5200,3.0,200,13,-52.0,-4.0
5200,3.0,1000,12,-42.0,-3.5
5300,1.0,50,15,-17.0,-1.1333333333333333
5300,1.0,200,12,2.0,0.16666666666666666
5300,1.0,1000,9,9.0,1.0
5300,1.5,50,15,-16.0,-1.0666666666666667
5300,1.5,200,11,5.0,0.45454545454545453
5300,1.5,1000,9,9.0,1.0
5300,2.0,50,6,-7.0,-1.1666666666666667
5300,2.0,200,6,14.0,2.3333333333333335
5300,2.0,1000,6,1.0,0.16666666666666666
5300,3.0,50,0,0.0,0.0
5300,3.0,200,0,0.0,0.0
5300,3.0,1000,0,0.0,0.0
5400,1.0,50,589,-791.0,-1.3429541595925296
5400,1.0,200,220,-274.0,-1.2454545454545454
5400,1.0,1000,126,-143.0,-1.1349206349206349
5400,1.5,50,527,-698.0,-1.3244781783681214
5400,1.5,200,162,-216.0,-1.3333333333333333
5400,1.5,1000,68,-90.0,-1.3235294117647058
5400,2.0,50,499,-660.0,-1.3226452905811623
5400,2.0,200,147,-199.0,-1.3537414965986394
5400,2.0,1000,55,-80.0,-1.4545454545454546
5400,3.0,50,435,-568.0,-1.3057471264367817
5400,3.0,200,133,-174.0,-1.3082706766917294
5400,3.0,1000,49,-69.0,-1.4081632653061225
5500,1.0,50,1032,-1090.0,-1.056201550387597
5500,1.0,200,745,-764.0,-1.025503355704698
5500,1.0,1000,691,-705.0,-1.020260492040521
5500,1.5,50,802,-852.0,-1.0623441396508728
5500,1.5,200,526,-537.0,-1.020912547528517
5500,1.5,1000,475,-482.0,-1.0147368421052632
5500,2.0,50,633,-666.0,-1.052132701421801
5500,2.0,200,372,-379.0,-1.0188172043010753
5500,2.0,1000,322,-325.0,-1.0093167701863355
5500,3.0,50,426,-444.0,-1.0422535211267605
5500,3.0,200,233,-238.0,-1.0214592274678111
5500,3.0,1000,190,-191.0,-1.0052631578947369
