sweep_dim,K,baseline,max_size,pnl
baseline,1.0,0,10,2704.0
baseline,1.0,1,10,23536.0
baseline,1.0,2,10,40308.0
baseline,1.0,3,10,48720.0
baseline,1.0,5,10,53988.0
baseline,1.0,7,10,53988.0
baseline,1.0,9,10,53988.0
baseline,1.0,10,10,53988.0
K,0.25,1,10,23089.0
K,0.5,1,10,23307.0
K,1.0,1,10,23536.0
K,2.0,1,10,25434.0
K,4.0,1,10,28744.0
K,8.0,1,10,33236.0
max_size,1.0,1,3,23105.0
max_size,1.0,1,5,23536.0
max_size,1.0,1,7,23536.0
max_size,1.0,1,10,23536.0
combo,2.0,5,10,53988.0
combo,4.0,5,10,53988.0
combo,8.0,5,10,53988.0
combo,16.0,5,10,53988.0
combo,32.0,5,10,53988.0
combo,8.0,3,10,49331.0
combo,8.0,7,10,53988.0
