day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,book_volume
2,0,SNACKPACK_RASPBERRY,9992,36,9990.0,45.0,,,10008,36,10010.0,45.0,,,10000.0,0.0,16,162.0
2,0,SNACKPACK_VANILLA,9992,36,9990.0,45.0,,,10008,36,10010.0,45.0,,,10000.0,0.0,16,162.0
2,0,SNACKPACK_CHOCOLATE,9992,36,9990.0,45.0,,,10008,36,10010.0,45.0,,,10000.0,0.0,16,162.0
2,0,SNACKPACK_PISTACHIO,9992,36,9990.0,45.0,,,10008,36,10010.0,45.0,,,10000.0,0.0,16,162.0
2,0,SNACKPACK_STRAWBERRY,9992,36,9990.0,45.0,,,10008,36,10010.0,45.0,,,10000.0,0.0,16,162.0
2,100,SNACKPACK_STRAWBERRY,9986,40,9984.0,58.0,,,10003,40,10005.0,58.0,,,9994.5,0.0,17,196.0
2,100,SNACKPACK_RASPBERRY,9997,40,9995.0,58.0,,,10014,40,10016.0,58.0,,,10005.5,0.0,17,196.0
2,100,SNACKPACK_CHOCOLATE,10000,40,9998.0,58.0,,,10017,40,10019.0,58.0,,,10008.5,0.0,17,196.0
2,100,SNACKPACK_VANILLA,9985,40,9983.0,58.0,,,10002,40,10004.0,58.0,,,9993.5,0.0,17,196.0
2,100,SNACKPACK_PISTACHIO,9989,40,9987.0,58.0,,,10006,40,10008.0,58.0,,,9997.5,0.0,17,196.0
2,200,SNACKPACK_CHOCOLATE,9999,23,9997.0,57.0,,,10016,23,10018.0,57.0,,,10007.5,0.0,17,160.0
2,200,SNACKPACK_STRAWBERRY,9991,23,9989.0,57.0,,,10008,23,10010.0,57.0,,,9999.5,0.0,17,160.0
2,200,SNACKPACK_RASPBERRY,9993,23,9991.0,57.0,,,10010,23,10012.0,57.0,,,10001.5,0.0,17,160.0
2,200,SNACKPACK_PISTACHIO,9992,23,9990.0,57.0,,,10009,23,10011.0,57.0,,,10000.5,0.0,17,160.0
2,200,SNACKPACK_VANILLA,9986,23,9984.0,57.0,,,10003,23,10005.0,57.0,,,9994.5,0.0,17,160.0
2,300,SNACKPACK_CHOCOLATE,10003,36,10001.0,44.0,,,10020,36,10022.0,44.0,,,10011.5,0.0,17,160.0
2,300,SNACKPACK_STRAWBERRY,9983,36,9981.0,44.0,,,10000,36,10002.0,44.0,,,9991.5,0.0,17,160.0
2,300,SNACKPACK_PISTACHIO,9991,36,9989.0,44.0,,,10008,36,10010.0,44.0,,,9999.5,0.0,17,160.0
2,300,SNACKPACK_VANILLA,9980,36,9978.0,44.0,,,9997,36,9999.0,44.0,,,9988.5,0.0,17,160.0
2,300,SNACKPACK_RASPBERRY,10000,36,9998.0,44.0,,,10017,36,10019.0,44.0,,,10008.5,0.0,17,160.0
2,400,SNACKPACK_STRAWBERRY,9972,30,9970.0,57.0,,,9989,30,9991.0,57.0,,,9980.5,0.0,17,174.0
2,400,SNACKPACK_PISTACHIO,9980,30,9978.0,57.0,,,9997,30,9999.0,57.0,,,9988.5,0.0,17,174.0
2,400,SNACKPACK_VANILLA,9982,30,9980.0,57.0,,,9999,30,10001.0,57.0,,,9990.5,0.0,17,174.0
2,400,SNACKPACK_CHOCOLATE,10004,30,10002.0,57.0,,,10021,30,10023.0,57.0,,,10012.5,0.0,17,174.0
2,400,SNACKPACK_RASPBERRY,10010,30,10008.0,57.0,,,10027,30,10029.0,57.0,,,10018.5,0.0,17,174.0
2,500,SNACKPACK_PISTACHIO,9978,37,9976.0,48.0,,,9995,37,9997.0,48.0,,,9986.5,0.0,17,170.0
2,500,SNACKPACK_STRAWBERRY,9972,37,9971.0,48.0,,,9989,37,9991.0,48.0,,,9980.5,0.0,17,170.0
2,500,SNACKPACK_RASPBERRY,10010,37,10008.0,48.0,,,10028,37,10030.0,48.0,,,10019.0,0.0,18,170.0
2,500,SNACKPACK_VANILLA,9981,37,9979.0,48.0,,,9998,37,10000.0,48.0,,,9989.5,0.0,17,170.0
2,500,SNACKPACK_CHOCOLATE,10007,37,10005.0,48.0,,,10024,37,10026.0,48.0,,,10015.5,0.0,17,170.0
2,600,SNACKPACK_PISTACHIO,9974,39,9972.0,52.0,,,9991,39,9993.0,52.0,,,9982.5,0.0,17,182.0
2,600,SNACKPACK_STRAWBERRY,9969,39,9967.0,52.0,,,9986,39,9988.0,52.0,,,9977.5,0.0,17,182.0
2,600,SNACKPACK_RASPBERRY,10017,39,10015.0,52.0,,,10034,39,10036.0,52.0,,,10025.5,0.0,17,182.0
2,600,SNACKPACK_CHOCOLATE,9991,39,9989.0,52.0,,,10008,39,10010.0,52.0,,,9999.5,0.0,17,182.0
2,600,SNACKPACK_VANILLA,9997,39,9995.0,52.0,,,10014,39,10016.0,52.0,,,10005.5,0.0,17,182.0
2,700,SNACKPACK_CHOCOLATE,9994,38,9992.0,45.0,,,10011,38,10013.0,45.0,,,10002.5,0.0,17,166.0
2,700,SNACKPACK_STRAWBERRY,9966,38,9964.0,45.0,,,9982,38,9984.0,45.0,,,9974.0,0.0,16,166.0
2,700,SNACKPACK_RASPBERRY,10019,38,10017.0,45.0,,,10036,38,10038.0,45.0,,,10027.5,0.0,17,166.0
2,700,SNACKPACK_PISTACHIO,9974,38,9972.0,45.0,,,9991,38,9993.0,45.0,,,9982.5,0.0,17,166.0
2,700,SNACKPACK_VANILLA,9994,38,9992.0,45.0,,,10011,38,10013.0,45.0,,,10002.5,0.0,17,166.0
2,800,SNACKPACK_RASPBERRY,10008,31,10006.0,43.0,,,10025,31,10027.0,43.0,,,10016.5,0.0,17,148.0
2,800,SNACKPACK_CHOCOLATE,9998,31,9996.0,43.0,,,10015,31,10017.0,43.0,,,10006.5,0.0,17,148.0
2,800,SNACKPACK_STRAWBERRY,9972,31,9970.0,43.0,,,9989,31,9991.0,43.0,,,9980.5,0.0,17,148.0
2,800,SNACKPACK_PISTACHIO,9976,31,9974.0,43.0,,,9993,31,9995.0,43.0,,,9984.5,0.0,17,148.0
2,800,SNACKPACK_VANILLA,9991,31,9989.0,43.0,,,10008,31,10010.0,43.0,,,9999.5,0.0,17,148.0
2,900,SNACKPACK_VANILLA,9986,25,9984.0,50.0,,,10003,25,10005.0,50.0,,,9994.5,0.0,17,150.0
2,900,SNACKPACK_RASPBERRY,10010,25,10008.0,50.0,,,10027,25,10029.0,50.0,,,10018.5,0.0,17,150.0
2,900,SNACKPACK_CHOCOLATE,10005,25,10003.0,50.0,,,10022,25,10024.0,50.0,,,10013.5,0.0,17,150.0
2,900,SNACKPACK_STRAWBERRY,9971,25,9969.0,50.0,,,9988,25,9990.0,50.0,,,9979.5,0.0,17,150.0
2,900,SNACKPACK_PISTACHIO,9974,25,9972.0,50.0,,,9990,25,9992.0,50.0,,,9982.0,0.0,16,150.0
2,1000,SNACKPACK_VANILLA,9988,38,9986.0,54.0,,,10005,38,10007.0,54.0,,,9996.5,0.0,17,184.0
2,1000,SNACKPACK_CHOCOLATE,10002,38,10000.0,54.0,,,10019,38,10021.0,54.0,,,10010.5,0.0,17,184.0
2,1000,SNACKPACK_RASPBERRY,10008,38,10006.0,54.0,,,10025,38,10027.0,54.0,,,10016.5,0.0,17,184.0
2,1000,SNACKPACK_PISTACHIO,9973,38,9971.0,54.0,,,9990,38,9992.0,54.0,,,9981.5,0.0,17,184.0
2,1000,SNACKPACK_STRAWBERRY,9973,38,9971.0,54.0,,,9990,38,9992.0,54.0,,,9981.5,0.0,17,184.0
2,1100,SNACKPACK_STRAWBERRY,9963,38,9961.0,57.0,,,9980,38,9982.0,57.0,,,9971.5,0.0,17,190.0
2,1100,SNACKPACK_RASPBERRY,10017,38,10015.0,57.0,,,10034,38,10036.0,57.0,,,10025.5,0.0,17,190.0
2,1100,SNACKPACK_VANILLA,9988,38,9986.0,57.0,,,10005,38,10007.0,57.0,,,9996.5,0.0,17,190.0
2,1100,SNACKPACK_CHOCOLATE,10002,38,10000.0,57.0,,,10019,38,10021.0,57.0,,,10010.5,0.0,17,190.0
2,1100,SNACKPACK_PISTACHIO,9970,38,9968.0,57.0,,,9987,38,9989.0,57.0,,,9978.5,0.0,17,190.0
2,1200,SNACKPACK_STRAWBERRY,9960,31,9958.0,49.0,,,9977,31,9979.0,49.0,,,9968.5,0.0,17,160.0
2,1200,SNACKPACK_CHOCOLATE,10004,31,10002.0,49.0,,,10021,31,10023.0,49.0,,,10012.5,0.0,17,160.0
2,1200,SNACKPACK_RASPBERRY,10017,31,10015.0,49.0,,,10034,31,10036.0,49.0,,,10025.5,0.0,17,160.0
