day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,book_volume
3,0,ROBOT_IRONING,9496,16,,,,,9504,16,,,,,9500.0,0.0,8,32.0
3,0,ROBOT_LAUNDRY,10233,6,10232.0,10.0,,,10241,16,,,,,10237.0,0.0,8,32.0
3,0,ROBOT_VACUUMING,10064,6,10063.0,10.0,,,10071,6,10072.0,10.0,,,10067.5,0.0,7,32.0
3,0,ROBOT_MOPPING,9811,6,9810.0,10.0,,,9818,6,9819.0,10.0,,,9814.5,0.0,7,32.0
3,0,ROBOT_DISHES,9920,16,,,,,9928,16,,,,,9924.0,0.0,8,32.0
3,100,ROBOT_MOPPING,9820,18,,,,,9828,7,9829.0,11.0,,,9824.0,0.0,8,36.0
3,100,ROBOT_IRONING,9506,18,,,,,9514,18,,,,,9510.0,0.0,8,36.0
3,100,ROBOT_LAUNDRY,10221,7,10220.0,11.0,,,10228,7,10229.0,11.0,,,10224.5,0.0,7,36.0
3,100,ROBOT_VACUUMING,10072,7,10071.0,11.0,,,10079,7,10080.0,11.0,,,10075.5,0.0,7,36.0
3,100,ROBOT_DISHES,9926,7,9925.0,11.0,,,9933,7,9934.0,11.0,,,9929.5,0.0,7,36.0
3,200,ROBOT_DISHES,9914,5,9913.0,12.0,,,9922,17,,,,,9918.0,0.0,8,34.0
3,200,ROBOT_MOPPING,9822,5,9821.0,12.0,,,9829,5,9830.0,12.0,,,9825.5,0.0,7,34.0
3,200,ROBOT_LAUNDRY,10223,5,10222.0,12.0,,,10231,5,10232.0,12.0,,,10227.0,0.0,8,34.0
3,200,ROBOT_IRONING,9506,17,,,,,9514,17,,,,,9510.0,0.0,8,34.0
3,200,ROBOT_VACUUMING,10055,5,10054.0,12.0,,,10062,5,10063.0,12.0,,,10058.5,0.0,7,34.0
3,300,ROBOT_VACUUMING,10049,4,10048.0,9.0,,,10056,4,10057.0,9.0,,,10052.5,0.0,7,26.0
3,300,ROBOT_MOPPING,9823,4,9822.0,9.0,,,9830,4,9831.0,9.0,,,9826.5,0.0,7,26.0
3,300,ROBOT_DISHES,9918,13,,,,,9926,4,9927.0,9.0,,,9922.0,0.0,8,26.0
3,300,ROBOT_LAUNDRY,10213,4,10212.0,9.0,,,10221,13,,,,,10217.0,0.0,8,26.0
3,300,ROBOT_IRONING,9506,13,,,,,9514,13,,,,,9510.0,0.0,8,26.0
3,400,ROBOT_DISHES,9934,14,,,,,9942,6,9943.0,8.0,,,9938.0,0.0,8,28.0
3,400,ROBOT_VACUUMING,10060,6,10059.0,8.0,,,10068,14,,,,,10064.0,0.0,8,28.0
3,400,ROBOT_MOPPING,9823,6,9822.0,8.0,,,9830,6,9831.0,8.0,,,9826.5,0.0,7,28.0
3,400,ROBOT_IRONING,9516,14,,,,,9524,14,,,,,9520.0,0.0,8,28.0
3,400,ROBOT_LAUNDRY,10201,6,10200.0,8.0,,,10208,6,10209.0,8.0,,,10204.5,0.0,7,28.0
3,500,ROBOT_DISHES,9938,5,9937.0,10.0,,,9945,5,9946.0,10.0,,,9941.5,0.0,7,30.0
3,500,ROBOT_MOPPING,9830,5,9829.0,10.0,,,9837,5,9838.0,10.0,,,9833.5,0.0,7,30.0
3,500,ROBOT_IRONING,9516,15,,,,,9524,15,,,,,9520.0,0.0,8,30.0
